ID,alternativeTitle,contactDetails,country,creationDate,creator,description,endDate,format,formatDetails,function,isbn,issn,language,name,releaseDate,sourceRecordLink,startDate,subTitle,title,type,url
00016424,Wreck-of-BATAVIA,,,1568,King Philip II House of Hapsburg,"Silver coin issued by Philip II of Spain in 1568 as ruler of Utrecht when he was still Lord of all seventeen of the provinces of the Netherlands. It was excavated from the BATAVIA, a Dutch East India Company vessel wrecked off the Western Australian coast in 1629. 'TRAIEC' on the on coin is short for Traiectum the Latin name of the city.",1568-12-31,Coin,,,,,,Coin,,https://collections.sea.museum/objects/32978,1568-01-01,,"Daalder of Philip II Lord of the Netherlands and Lord of Utrecht, from the wreck of the BATAVIA",Coins and medals,https://collections.sea.museum/collections
00016425,Wreck-of-BATAVIA,,,1567,King Philip II House of Hapsburg,"Coin issued by Philip II of Spain in 1567 as ruler of the seventeen provinces of the Netherlands prior to the independance of the northern seven provinces. It was excavated from the BATAVIA, a Dutch East India Company vessel wrecked off the Western Australian coast in 1629.",1567-12-31,Coin,,,,,,Coin,,https://collections.sea.museum/objects/32979,1567-01-01,,"Daalder of Philip II Lord of the Netherlands, from the wreck of the BATAVIA.",Coins and medals,https://collections.sea.museum/collections
00016426,Wreck-of-BATAVIA,,,1568,King Philip II House of Hapsburg,"Silver coin issued in 1568 by Philip II as King of Spain and Duke of Brabant (one of the seventeen provinces of the Netherlands then under his rule). It was excavated from the BATAVIA, a Dutch East India Company vessel wrecked off the Western Australian coast in 1629.",1568-12-31,Coin,,,,,,Coin,,https://collections.sea.museum/objects/32980,1568-01-01,,"Daalder of Philip II Lord of the Netherlands and Duke of Brabant, from the wreck of the BATAVIA",Coins and medals,https://collections.sea.museum/collections
00016427,Wreck-of-BATAVIA,,,1606/1628,United Provinces of the Netherlands,"This silver coin of the United Provinces of the Netherlands was excavated from the BATAVIA, a Dutch East India Company vessel wrecked off the Western Australian coast in 1629.",1628-12-31,Coin,,,,,,Coin,,https://collections.sea.museum/objects/32981,1606-01-01,,"Rijksdaalder of Holland, United Provinces of the Netherlands, from the wreck of the BATAVIA",Coins and medals,https://collections.sea.museum/collections
00016428,Wreck-of-BATAVIA,,,1560/1598,King Philip II House of Hapsburg,"This silver coin was excavated from the BATAVIA, a Dutch East India Company vessel wrecked off the Western Australian coast in 1629.",1598-12-31,Coin,,,,,,Coin,,https://collections.sea.museum/objects/32982,1560-01-01,,"Daalder of Philip II Lord of the Netherlands, from the wreck of the BATAVIA",Coins and medals,https://collections.sea.museum/collections
00016448,Wreck-of-BATAVIA,,,1618/1628,United Provinces of the Netherlands,"This silver coin was excavated from the BATAVIA, a Dutch vessel wrecked off the Western Australian coast in 1629. Rijksdaalders were issued by the United provinces of Brabant, Flanders, Gelderland, Holland, Overijssel, Utrecht and Zeeland. ",1628-12-31,Coin,,,,,,Coin,,https://collections.sea.museum/objects/32995,1618-01-01,,"Rijksdaalder of Holland, United Provinces of the Netherlands, from the wreck of the BATAVIA.",Coins and medals,https://collections.sea.museum/collections
00016449,Wreck-of-BATAVIA,,,1622,United Provinces of the Netherlands,"This silver coin was excavated from the BATAVIA, a Dutch vessel wrecked off the Western Australian coast in 1629. Rijksdaalders were issued by the United provinces of Brabant, Flanders, Gelderland, Holland, Overijssel, Utrecht and Zeeland. ",1622-12-31,Coin,,,,,,Coin,,https://collections.sea.museum/objects/32996,1622-01-01,,"Rijksdaalder of Holland, United Provinces of the Netherlands, from the wreck of the BATAVIA.",Coins and medals,https://collections.sea.museum/collections
00016450,Wreck-of-BATAVIA,,,1622,United Provinces of the Netherlands,"This silver coin was excavated from the BATAVIA, a Dutch vessel wrecked off the Western Australian coast in 1629. Rijksdaalders were issued by the United provinces of Brabant, Flanders, Gelderland, Holland, Overijssel, Utrecht and Zeeland. ",1628-12-31,Coin,,,,,,Coin,,https://collections.sea.museum/objects/32997,1622-01-01,,"Rijksdaalder of Holland, United Provinces of the Netherlands, from the wreck of the BATAVIA.",Coins and medals,https://collections.sea.museum/collections
00016451,Wreck-of-BATAVIA,,,1618/1628,United Provinces of the Netherlands,"This silver coin was excavated from the BATAVIA, a Dutch vessel wrecked off the Western Australian coast in 1629. Rijksdaalders were issued by the United provinces of Brabant, Flanders, Gelderland, Holland, Overijssel, Utrecht and Zeeland. ",1628-12-31,Coin,,,,,,Coin,,https://collections.sea.museum/objects/32998,1618-01-01,,"Rijksdaalder of Holland, United Provinces of the Netherlands, from the wreck of the BATAVIA.",Coins and medals,https://collections.sea.museum/collections
00016465,Wreck-of-BATAVIA,,,1618/1628,United Provinces of the Netherlands,"This silver coin was excavated from the BATAVIA, a Dutch vessel wrecked off the Western Australian coast in 1629. Rijksdaalders were issued by the United provinces of Brabant, Flanders, Gelderland, Holland, Overijssel, Utrecht and Zeeland. ",1628-12-31,Coin,,,,,,Coin,,https://collections.sea.museum/objects/33012,1618-01-01,,"Rijksdaalder of Holland, United Provinces of the Netherlands, from the wreck of the BATAVIA.",Coins and medals,https://collections.sea.museum/collections
